Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,139.050003,140.800003,138.850006,140.449997,140.449997,8239515
2022-03-02,140.000000,140.100006,139.199997,139.649994,139.649994,6131154
2022-03-03,140.500000,140.800003,139.850006,139.949997,139.949997,4438868
2022-03-04,138.500000,138.850006,137.949997,138.449997,138.449997,12599177
2022-03-07,136.899994,136.899994,133.750000,134.000000,134.000000,52044419
2022-03-08,132.449997,133.149994,131.000000,131.149994,131.149994,41820858
2022-03-09,132.199997,133.250000,132.199997,132.500000,132.500000,20881585
2022-03-10,135.199997,136.550003,135.199997,136.350006,136.350006,14436523
2022-03-11,135.850006,135.850006,134.199997,134.399994,134.399994,10604845
2022-03-14,135.000000,135.350006,134.000000,134.399994,134.399994,8586652
2022-03-15,133.149994,133.149994,131.399994,131.649994,131.649994,23530678
2022-03-16,133.199997,133.250000,131.100006,132.199997,132.199997,18988520
2022-03-17,135.449997,136.500000,135.199997,136.399994,136.399994,14001548
2022-03-18,136.600006,136.600006,135.500000,136.100006,136.100006,12645344
2022-03-21,136.800003,137.649994,136.800003,137.000000,137.000000,7718397
2022-03-22,136.800003,137.000000,136.300003,136.800003,136.800003,6046072
2022-03-23,137.600006,138.350006,137.550003,138.100006,138.100006,10269938
2022-03-24,137.500000,138.100006,137.050003,138.000000,138.000000,4277141
2022-03-25,138.399994,138.500000,137.899994,138.199997,138.199997,4874198
2022-03-28,137.000000,137.000000,135.550003,136.699997,136.699997,10506177
2022-03-29,137.000000,137.199997,136.600006,136.850006,136.850006,6443554
2022-03-30,138.050003,138.699997,138.050003,138.550003,138.550003,8166267
2022-03-31,138.550003,138.649994,138.100006,138.100006,138.100006,3559638
2022-04-01,136.600006,136.949997,136.149994,136.949997,136.949997,7698756
2022-04-06,135.250000,136.350006,135.000000,136.250000,136.250000,11562914
2022-04-07,135.100006,135.100006,133.800003,133.800003,133.800003,14747866
2022-04-08,134.100006,134.550003,133.750000,134.550003,134.550003,8942218
2022-04-11,134.149994,134.449997,132.199997,132.449997,132.449997,16709415
2022-04-12,132.149994,132.850006,131.600006,132.550003,132.550003,14218880
2022-04-13,133.399994,135.199997,133.199997,135.050003,135.050003,7046713
2022-04-14,135.750000,135.750000,134.550003,134.550003,134.550003,4947994
2022-04-15,132.850006,133.050003,132.000000,132.250000,132.250000,20692379
2022-04-18,132.000000,132.250000,131.149994,131.550003,131.550003,17962021
2022-04-19,132.250000,132.949997,131.850006,132.000000,132.000000,9059509
2022-04-20,132.199997,132.699997,131.649994,132.649994,132.649994,6762135
2022-04-21,133.250000,133.600006,132.649994,132.750000,132.750000,3984094
2022-04-22,131.399994,131.750000,130.850006,131.600006,131.600006,11200337
2022-04-25,130.000000,130.050003,128.649994,129.250000,129.250000,32212970
2022-04-26,129.750000,129.800003,128.850006,129.250000,129.250000,9352352
2022-04-27,127.000000,127.000000,126.050003,126.550003,126.550003,28746564
2022-04-28,127.349998,127.400002,125.949997,127.099998,127.099998,11542841
2022-04-29,128.899994,129.500000,128.250000,128.750000,128.750000,11884431
2022-05-03,128.550003,128.699997,127.449997,127.800003,127.800003,6281269
2022-05-04,128.300003,128.449997,127.500000,127.800003,127.800003,9899693
2022-05-05,129.500000,129.800003,128.949997,129.250000,129.250000,6225604
2022-05-06,126.449997,126.849998,125.949997,126.650002,126.650002,17050883
2022-05-09,125.500000,125.550003,124.500000,124.550003,124.550003,12930248
2022-05-10,122.150002,124.099998,121.550003,124.000000,124.000000,13844143
2022-05-11,123.849998,124.449997,123.300003,124.199997,124.199997,8049901
2022-05-12,123.000000,123.000000,121.199997,121.250000,121.250000,11938815
2022-05-13,122.099998,122.349998,121.550003,122.349998,122.349998,7026550
2022-05-16,123.449997,124.000000,122.500000,123.000000,123.000000,5726166
2022-05-17,123.150002,124.500000,123.150002,124.349998,124.349998,4165551
2022-05-18,125.349998,126.000000,125.250000,125.699997,125.699997,6316611
2022-05-19,123.449997,123.800003,122.650002,123.300003,123.300003,7258370
2022-05-20,123.750000,124.949997,123.650002,124.650002,124.650002,3665416
2022-05-23,125.300003,125.599998,124.500000,124.900002,124.900002,2678893
2022-05-24,125.000000,125.199997,123.400002,123.500000,123.500000,5069187
2022-05-25,123.699997,124.699997,123.449997,124.449997,124.449997,2567573
2022-05-26,125.000000,125.000000,122.849998,122.900002,122.900002,5804968
2022-05-27,124.150002,125.800003,124.050003,125.500000,125.500000,11700393
2022-05-30,127.250000,128.600006,127.050003,128.550003,128.550003,14542630
2022-05-31,128.449997,129.800003,127.599998,129.800003,129.800003,7025667
2022-06-01,129.300003,130.050003,129.000000,129.149994,129.149994,6406682
2022-06-02,128.449997,128.449997,127.599998,127.800003,127.800003,4429653
2022-06-06,128.250000,129.000000,127.449997,128.699997,128.699997,4027825
2022-06-07,127.949997,127.949997,126.849998,127.400002,127.400002,4841440
2022-06-08,128.500000,129.100006,128.149994,128.800003,128.800003,3979050
2022-06-09,128.199997,128.500000,127.650002,128.399994,128.399994,1927275
2022-06-10,126.800003,127.400002,126.400002,127.099998,127.099998,4249603
2022-06-13,124.099998,124.250000,123.449997,123.550003,123.550003,16866775
2022-06-14,122.599998,123.550003,122.099998,123.349998,123.349998,11889780
2022-06-15,123.000000,123.599998,122.650002,122.750000,122.750000,8848327
2022-06-16,124.099998,125.000000,122.250000,122.500000,122.500000,12767922
2022-06-17,121.000000,121.500000,120.400002,120.849998,120.849998,19671555
2022-06-20,120.900002,120.949997,119.500000,119.750000,119.750000,10564277
2022-06-21,120.949997,122.199997,120.349998,122.199997,122.199997,6482625
2022-06-22,121.699997,121.699997,119.349998,119.500000,119.500000,15108994
2022-06-23,119.800003,119.800003,117.250000,117.900002,117.900002,16872943
2022-06-24,118.650002,119.300003,117.949997,118.150002,118.150002,10768382
2022-06-27,119.800003,121.449997,119.800003,120.949997,120.949997,16680954
2022-06-28,120.800003,120.800003,119.250000,119.800003,119.800003,10808460
2022-06-29,118.699997,119.550003,118.500000,118.800003,118.800003,6271996
2022-06-30,117.699997,117.800003,115.500000,115.800003,115.800003,20430245
2022-07-01,115.650002,115.650002,111.199997,111.550003,111.550003,34719560
2022-07-04,111.250000,112.199997,110.000000,110.449997,110.449997,26442712
2022-07-05,112.550003,112.949997,109.000000,111.000000,111.000000,16214458
2022-07-06,111.000000,111.050003,108.449997,108.849998,108.849998,15611981
2022-07-07,109.449997,112.150002,108.550003,112.099998,112.099998,13433190
2022-07-08,113.300003,113.900002,112.300003,113.250000,113.250000,10177857
2022-07-11,113.650002,113.699997,111.849998,112.250000,112.250000,7572953
2022-07-12,110.949997,110.949997,109.150002,109.550003,109.550003,11133444
2022-07-13,113.000000,113.650002,112.599998,113.449997,113.449997,24824897
2022-07-14,112.699997,114.250000,111.800003,114.000000,114.000000,14750428
2022-07-15,114.599998,115.650002,113.750000,115.500000,115.500000,18555312
2022-07-18,114.650002,114.849998,113.949997,114.199997,114.199997,22207344
2022-07-19,113.949997,114.650002,113.599998,114.300003,114.300003,13251365
2022-07-20,115.849998,116.199997,114.699997,115.050003,115.050003,16836288
2022-07-21,115.400002,116.349998,115.000000,116.349998,116.349998,8803270
2022-07-22,116.599998,117.199997,116.300003,116.800003,116.800003,15614914
2022-07-25,116.300003,116.949997,116.000000,116.699997,116.699997,10543360
2022-07-26,116.599998,116.599998,115.300003,115.650002,115.650002,12623932
2022-07-27,115.500000,116.699997,115.150002,116.699997,116.699997,7917050
2022-07-28,117.849998,117.949997,116.900002,116.900002,116.900002,8307208
2022-07-29,118.150002,118.500000,117.650002,118.000000,118.000000,8030332
2022-08-01,118.099998,118.099998,117.199997,117.650002,117.650002,9504634
2022-08-02,116.550003,116.550003,115.099998,115.550003,115.550003,17694450
2022-08-03,115.650002,116.250000,115.500000,116.250000,116.250000,7840202
